k, get_knn_function, get_label_function, pca_parameters, accuracy, macro_precision, macro_recall, macro_F1, execution_time, d
7, get_knn_e_dist_with_kdtree, get_label_by_knn, 8, 0.953488372093, 0.955360155414, 0.953019638253, 0.954188461579, 4.334012508392334, 8
7, get_knn_e_dist_with_kdtree, get_label_by_knn, 16, 0.978858350951, 0.978817226688, 0.978536682036, 0.978676934257, 7.1100754737854, 16
7, get_knn_e_dist_with_kdtree, get_label_by_knn, 32, 0.983086680761, 0.98260403743, 0.983067678395, 0.982835803233, 10.24657154083252, 32
7, get_knn_e_dist_with_kdtree, get_label_by_knn, 64, 0.977801268499, 0.9774567235, 0.977520297818, 0.977488509625, 13.661448001861572, 64
7, get_knn_e_dist_with_kdtree, get_label_by_knn, 128, 0.977801268499, 0.977359119146, 0.97777084248, 0.977564937462, 17.860474586486816, 128
7, get_knn_e_dist_with_kdtree, get_label_by_knn, 256, 0.976744186047, 0.976495853235, 0.976510910785, 0.976503381952, 23.424727201461792, 256
7, get_knn_e_dist_with_kdtree, get_label_by_wknn, 0, 0.989429175476, 0.989232512731, 0.989322648725, 0.989277578675, 58.428974628448486, 1024
7, get_knn_e_dist_with_kdtree, get_label_by_wknn, 4, 0.844608879493, 0.847228964882, 0.848503212571, 0.847865609963, 2.4408364295959473, 4
7, get_knn_e_dist_with_kdtree, get_label_by_wknn, 8, 0.957716701903, 0.958558587527, 0.956795408155, 0.957676186293, 4.349063873291016, 8
7, get_knn_e_dist_with_kdtree, get_label_by_wknn, 16, 0.985200845666, 0.985295005181, 0.984510360337, 0.984902526482, 7.118486166000366, 16
7, get_knn_e_dist_with_kdtree, get_label_by_wknn, 32, 0.989429175476, 0.989409445194, 0.98894514576, 0.989177240994, 10.286425828933716, 32
7, get_knn_e_dist_with_kdtree, get_label_by_wknn, 64, 0.990486257928, 0.990432416185, 0.990223880244, 0.990328137237, 13.705070734024048, 64
7, get_knn_e_dist_with_kdtree, get_label_by_wknn, 128, 0.991543340381, 0.991371110242, 0.99134747575, 0.991359292855, 17.892651081085205, 128
7, get_knn_e_dist_with_kdtree, get_label_by_wknn, 256, 0.989429175476, 0.989274651865, 0.989297954318, 0.989286302954, 23.548911571502686, 256
7, get_knn_m_dist, get_label_by_knn, 0, 0.477801268499, 0.610776849635, 0.481908731439, 0.53874362744, 113.1543128490448, 1024
7, get_knn_m_dist, get_label_by_knn, 4, 0.841437632135, 0.844461354988, 0.845953035655, 0.845206537166, 8.402577877044678, 4
7, get_knn_m_dist, get_label_by_knn, 8, 0.948202959831, 0.950621272681, 0.947790775602, 0.949203914032, 8.24144983291626, 8
7, get_knn_m_dist, get_label_by_knn, 16, 0.971458773784, 0.971745549646, 0.971420534295, 0.971583014789, 8.541217565536499, 16
7, get_knn_m_dist, get_label_by_knn, 32, 0.973572938689, 0.973388518489, 0.973320395185, 0.973354455645, 9.10878038406372, 32
7, get_knn_m_dist, get_label_by_knn, 64, 0.957716701903, 0.957784555464, 0.956666597232, 0.957225249928, 10.276854991912842, 64
7, get_knn_m_dist, get_label_by_knn, 128, 0.899577167019, 0.916330553682, 0.898688392706, 0.907423731432, 13.783408403396606, 128
7, get_knn_m_dist, get_label_by_knn, 256, 0.716701902748, 0.863234087867, 0.71667522855, 0.783156958169, 24.259952783584595, 256
7, get_knn_m_dist, get_label_by_wknn, 0, 0.520084566596, 0.592523752744, 0.523951474031, 0.556131808756, 113.26236724853516, 1024
7, get_knn_m_dist, get_label_by_wknn, 4, 0.846723044397, 0.848354097112, 0.850794340851, 0.849572466695, 8.435118913650513, 4
7, get_knn_m_dist, get_label_by_wknn, 8, 0.955602536998, 0.956794845316, 0.954325303281, 0.955558478732, 8.25227165222168, 8
7, get_knn_m_dist, get_label_by_wknn, 16, 0.983086680761, 0.983298183887, 0.982527669563, 0.982912775722, 8.553757905960083, 16
7, get_knn_m_dist, get_label_by_wknn, 32, 0.972515856237, 0.972254453567, 0.972404065484, 0.97232925377, 9.12957215309143, 32
7, get_knn_m_dist, get_label_by_wknn, 64, 0.963002114165, 0.96249997512, 0.962720371837, 0.962610160863, 10.34705924987793, 64
7, get_knn_m_dist, get_label_by_wknn, 128, 0.918604651163, 0.922368020944, 0.917547592273, 0.919951492044, 13.839592218399048, 128
7, get_knn_m_dist, get_label_by_wknn, 256, 0.780126849894, 0.848843333604, 0.778245553612, 0.81201285963, 24.044867992401123, 256
9, get_knn_e_dist, get_label_by_knn, 0, 0.975687103594, 0.975885596549, 0.975472687207, 0.975679098192, 7.343644618988037, 1024
